TX	Date	RX	NonEqualized_Signal_Count
1-10	2021_03_08	8-8	50
1-10	2021_03_15	1-1	50
1-10	2021_03_15	1-19	50
1-10	2021_03_15	1-20	50
1-10	2021_03_15	13-7	50
1-10	2021_03_15	14-7	50
1-10	2021_03_15	18-19	50
1-10	2021_03_15	18-2	50
1-10	2021_03_15	19-1	50
1-10	2021_03_15	19-2	50
1-10	2021_03_15	2-1	50
1-10	2021_03_15	20-1	50
1-10	2021_03_15	20-19	50
1-10	2021_03_15	3-19	50
1-10	2021_03_15	7-14	50
1-10	2021_03_15	7-7	50
1-10	2021_03_15	8-14	50
1-10	2021_03_15	8-7	50
1-10	2021_03_15	8-8	50
1-10	2021_03_23	1-1	50
1-10	2021_03_23	1-19	50
1-10	2021_03_23	1-20	50
1-10	2021_03_23	13-7	50
1-10	2021_03_23	14-7	50
1-10	2021_03_23	18-19	50
1-10	2021_03_23	18-2	50
1-10	2021_03_23	19-1	50
1-10	2021_03_23	19-2	50
1-10	2021_03_23	2-1	50
1-10	2021_03_23	20-1	50
1-10	2021_03_23	20-19	50
1-10	2021_03_23	3-19	50
1-10	2021_03_23	7-14	50
1-10	2021_03_23	7-7	50
1-10	2021_03_23	8-14	50
1-10	2021_03_23	8-7	50
1-10	2021_03_23	8-8	50
1-11	2021_03_01	1-1	50
1-11	2021_03_01	1-19	50
1-11	2021_03_01	1-20	50
1-11	2021_03_01	13-7	50
1-11	2021_03_01	14-7	50
1-11	2021_03_01	18-19	50
1-11	2021_03_01	18-2	50
1-11	2021_03_01	19-1	50
1-11	2021_03_01	19-2	50
1-11	2021_03_01	2-1	50
1-11	2021_03_01	20-1	50
1-11	2021_03_01	20-19	50
1-11	2021_03_01	3-19	50
1-11	2021_03_01	7-14	50
1-11	2021_03_01	7-7	50
1-11	2021_03_01	8-14	50
1-11	2021_03_01	8-7	50
1-11	2021_03_01	8-8	50
1-11	2021_03_08	1-1	50
1-11	2021_03_08	1-19	50
1-11	2021_03_08	1-20	50
1-11	2021_03_08	13-7	50
1-11	2021_03_08	14-7	50
1-11	2021_03_08	18-19	50
1-11	2021_03_08	18-2	50
1-11	2021_03_08	19-1	50
1-11	2021_03_08	19-2	50
1-11	2021_03_08	2-1	50
1-11	2021_03_08	20-1	50
1-11	2021_03_08	20-19	50
1-11	2021_03_08	3-19	50
1-11	2021_03_08	7-14	50
1-11	2021_03_08	7-7	50
1-11	2021_03_08	8-14	50
1-11	2021_03_08	8-7	50
1-11	2021_03_08	8-8	50
1-11	2021_03_15	1-1	12
1-11	2021_03_15	1-19	22
1-11	2021_03_15	1-20	11
1-11	2021_03_15	13-7	33
1-11	2021_03_15	14-7	10
1-11	2021_03_15	18-19	35
1-11	2021_03_15	18-2	50
1-11	2021_03_15	19-1	20
1-11	2021_03_15	19-2	0
1-11	2021_03_15	2-1	9
1-11	2021_03_15	20-1	0
1-11	2021_03_15	20-19	9
1-11	2021_03_15	3-19	47
1-11	2021_03_15	7-14	13
1-11	2021_03_15	7-7	11
1-11	2021_03_15	8-14	28
1-11	2021_03_15	8-7	50
1-11	2021_03_15	8-8	16
1-11	2021_03_23	1-1	50
1-11	2021_03_23	1-19	50
1-11	2021_03_23	1-20	50
1-11	2021_03_23	13-7	50
1-11	2021_03_23	14-7	50
1-11	2021_03_23	18-19	50
1-11	2021_03_23	18-2	50
1-11	2021_03_23	19-1	50
1-11	2021_03_23	19-2	50
1-11	2021_03_23	2-1	50
1-11	2021_03_23	20-1	50
1-11	2021_03_23	20-19	50
1-11	2021_03_23	3-19	50
1-11	2021_03_23	7-14	50
1-11	2021_03_23	7-7	50
1-11	2021_03_23	8-14	50
1-11	2021_03_23	8-7	50
1-11	2021_03_23	8-8	50
1-12	2021_03_01	1-1	50
1-12	2021_03_01	1-19	50
1-12	2021_03_01	1-20	50
1-12	2021_03_01	13-7	50
1-12	2021_03_01	14-7	50
1-12	2021_03_01	18-19	50
1-12	2021_03_01	18-2	50
1-12	2021_03_01	19-1	50
1-12	2021_03_01	19-2	50
1-12	2021_03_01	2-1	50
1-12	2021_03_01	20-1	50
1-12	2021_03_01	20-19	50
1-12	2021_03_01	3-19	50
1-12	2021_03_01	7-14	50
1-12	2021_03_01	7-7	50
1-12	2021_03_01	8-14	50
1-12	2021_03_01	8-7	50
1-12	2021_03_01	8-8	50
1-12	2021_03_08	1-1	50
1-12	2021_03_08	1-19	50
1-12	2021_03_08	1-20	50
1-12	2021_03_08	13-7	50
1-12	2021_03_08	14-7	50
1-12	2021_03_08	18-19	50
1-12	2021_03_08	18-2	50
1-12	2021_03_08	19-1	50
1-12	2021_03_08	19-2	50
1-12	2021_03_08	2-1	50
1-12	2021_03_08	20-1	50
1-12	2021_03_08	20-19	50
1-12	2021_03_08	3-19	50
1-12	2021_03_08	7-14	50
1-12	2021_03_08	7-7	50
1-12	2021_03_08	8-14	50
1-12	2021_03_08	8-7	50
1-12	2021_03_08	8-8	50
1-12	2021_03_15	1-1	50
1-12	2021_03_15	1-19	50
1-12	2021_03_15	1-20	50
1-12	2021_03_15	13-7	50
1-12	2021_03_15	14-7	50
1-12	2021_03_15	18-19	50
1-12	2021_03_15	18-2	50
1-12	2021_03_15	19-1	50
1-12	2021_03_15	19-2	50
1-12	2021_03_15	2-1	50
1-12	2021_03_15	20-1	50
1-12	2021_03_15	20-19	50
1-12	2021_03_15	3-19	50
1-12	2021_03_15	7-14	50
1-12	2021_03_15	7-7	50
1-12	2021_03_15	8-14	50
1-12	2021_03_15	8-7	50
1-12	2021_03_15	8-8	50
1-12	2021_03_23	1-1	50
1-12	2021_03_23	1-19	50
1-12	2021_03_23	1-20	50
1-12	2021_03_23	13-7	50
1-12	2021_03_23	14-7	50
1-12	2021_03_23	18-19	50
1-12	2021_03_23	18-2	50
1-12	2021_03_23	19-1	50
1-12	2021_03_23	19-2	50
1-12	2021_03_23	2-1	50
1-12	2021_03_23	20-1	50
1-12	2021_03_23	20-19	40
1-12	2021_03_23	3-19	50
1-12	2021_03_23	7-14	50
1-12	2021_03_23	7-7	50
1-12	2021_03_23	8-14	50
1-12	2021_03_23	8-7	50
1-12	2021_03_23	8-8	50
1-14	2021_03_01	1-1	50
1-14	2021_03_01	1-19	50
1-14	2021_03_01	1-20	50
1-14	2021_03_01	13-7	50
1-14	2021_03_01	14-7	50
1-14	2021_03_01	18-19	50
1-14	2021_03_01	18-2	50
1-14	2021_03_01	19-1	50
1-14	2021_03_01	19-2	50
1-14	2021_03_01	2-1	50
1-14	2021_03_01	20-1	50
1-14	2021_03_01	20-19	50
1-14	2021_03_01	3-19	50
1-14	2021_03_01	7-14	50
1-14	2021_03_01	7-7	50
1-14	2021_03_01	8-14	50
1-14	2021_03_01	8-7	50
1-14	2021_03_01	8-8	50
1-14	2021_03_08	1-1	50
1-14	2021_03_08	1-19	50
1-14	2021_03_08	1-20	50
1-14	2021_03_08	13-7	50
1-14	2021_03_08	14-7	50
1-14	2021_03_08	18-19	50
1-14	2021_03_08	18-2	50
1-14	2021_03_08	19-1	50
1-14	2021_03_08	19-2	50
1-14	2021_03_08	2-1	50
1-14	2021_03_08	20-1	50
1-14	2021_03_08	20-19	50
1-14	2021_03_08	3-19	50
1-14	2021_03_08	7-14	50
1-14	2021_03_08	7-7	50
1-14	2021_03_08	8-14	50
1-14	2021_03_08	8-7	50
1-14	2021_03_08	8-8	50
1-14	2021_03_15	1-1	50
1-14	2021_03_15	1-19	50
1-14	2021_03_15	1-20	50
1-14	2021_03_15	13-7	50
1-14	2021_03_15	14-7	50
1-14	2021_03_15	18-19	50
1-14	2021_03_15	18-2	50
1-14	2021_03_15	19-1	50
1-14	2021_03_15	19-2	50
1-14	2021_03_15	2-1	50
1-14	2021_03_15	20-1	50
1-14	2021_03_15	20-19	50
1-14	2021_03_15	3-19	50
1-14	2021_03_15	7-14	50
1-14	2021_03_15	7-7	50
1-14	2021_03_15	8-14	50
1-14	2021_03_15	8-7	50
1-14	2021_03_15	8-8	50
1-14	2021_03_23	1-1	50
1-14	2021_03_23	1-19	50
1-14	2021_03_23	1-20	50
1-14	2021_03_23	13-7	50
1-14	2021_03_23	14-7	50
1-14	2021_03_23	18-19	50
1-14	2021_03_23	18-2	50
1-14	2021_03_23	19-1	50
1-14	2021_03_23	19-2	50
1-14	2021_03_23	2-1	50
1-14	2021_03_23	20-1	50
1-14	2021_03_23	20-19	50
1-14	2021_03_23	3-19	50
1-14	2021_03_23	7-14	50
1-14	2021_03_23	7-7	50
1-14	2021_03_23	8-14	50
1-14	2021_03_23	8-7	50
1-14	2021_03_23	8-8	50
1-15	2021_03_01	1-1	0
1-15	2021_03_01	1-19	0
1-15	2021_03_01	1-20	0
1-15	2021_03_01	13-7	0
1-15	2021_03_01	14-7	0
1-15	2021_03_01	18-19	23
1-15	2021_03_01	18-2	50
1-15	2021_03_01	19-1	0
1-15	2021_03_01	19-2	50
1-15	2021_03_01	2-1	0
1-15	2021_03_01	20-1	27
1-15	2021_03_01	20-19	0
1-15	2021_03_01	3-19	25
1-15	2021_03_01	7-14	5
1-15	2021_03_01	7-7	6
1-15	2021_03_01	8-14	28
1-15	2021_03_01	8-7	42
1-15	2021_03_01	8-8	0
1-15	2021_03_08	1-1	50
1-15	2021_03_08	1-19	50
1-15	2021_03_08	1-20	50
1-15	2021_03_08	13-7	50
1-15	2021_03_08	14-7	50
1-15	2021_03_08	18-19	50
1-15	2021_03_08	18-2	50
1-15	2021_03_08	19-1	50
1-15	2021_03_08	19-2	50
1-15	2021_03_08	2-1	50
1-15	2021_03_08	20-1	50
1-15	2021_03_08	20-19	50
1-15	2021_03_08	3-19	0
1-15	2021_03_08	7-14	50
1-15	2021_03_08	7-7	50
1-15	2021_03_08	8-14	50
1-15	2021_03_08	8-7	50
1-15	2021_03_08	8-8	50
1-15	2021_03_15	1-1	50
1-15	2021_03_15	1-19	50
1-15	2021_03_15	1-20	50
1-15	2021_03_15	13-7	50
1-15	2021_03_15	14-7	50
1-15	2021_03_15	18-19	50
1-15	2021_03_15	18-2	50
1-15	2021_03_15	19-1	50
1-15	2021_03_15	19-2	50
1-15	2021_03_15	2-1	50
1-15	2021_03_15	20-1	50
1-15	2021_03_15	20-19	50
1-15	2021_03_15	3-19	50
1-15	2021_03_15	7-14	50
1-15	2021_03_15	7-7	50
1-15	2021_03_15	8-14	50
1-15	2021_03_15	8-7	50
1-15	2021_03_15	8-8	50
1-15	2021_03_23	1-1	50
1-15	2021_03_23	1-19	50
1-15	2021_03_23	1-20	50
1-15	2021_03_23	13-7	50
1-15	2021_03_23	14-7	50
1-15	2021_03_23	18-19	50
1-15	2021_03_23	18-2	50
1-15	2021_03_23	19-1	50
1-15	2021_03_23	19-2	50
1-15	2021_03_23	2-1	50
1-15	2021_03_23	20-1	50
1-15	2021_03_23	20-19	50
1-15	2021_03_23	3-19	0
1-15	2021_03_23	7-14	50
1-15	2021_03_23	7-7	50
1-15	2021_03_23	8-14	50
1-15	2021_03_23	8-7	50
1-15	2021_03_23	8-8	50
1-16	2021_03_01	1-1	50
1-16	2021_03_01	1-19	50
1-16	2021_03_01	1-20	50
1-16	2021_03_01	13-7	50
1-16	2021_03_01	14-7	50
1-16	2021_03_01	18-19	50
1-16	2021_03_01	18-2	50
1-16	2021_03_01	19-1	50
1-16	2021_03_01	19-2	50
1-16	2021_03_01	2-1	50
1-16	2021_03_01	20-1	50
1-16	2021_03_01	20-19	50
1-16	2021_03_01	3-19	50
1-16	2021_03_01	7-14	50
1-16	2021_03_01	7-7	50
1-16	2021_03_01	8-14	50
1-16	2021_03_01	8-7	50
1-16	2021_03_01	8-8	50
1-16	2021_03_08	1-1	50
1-16	2021_03_08	1-19	50
1-16	2021_03_08	1-20	50
1-16	2021_03_08	13-7	50
1-16	2021_03_08	14-7	50
1-16	2021_03_08	18-19	50
1-16	2021_03_08	18-2	50
1-16	2021_03_08	19-1	50
1-16	2021_03_08	19-2	50
1-16	2021_03_08	2-1	50
1-16	2021_03_08	20-1	50
1-16	2021_03_08	20-19	50
1-16	2021_03_08	3-19	50
1-16	2021_03_08	7-14	50
1-16	2021_03_08	7-7	50
1-16	2021_03_08	8-14	50
1-16	2021_03_08	8-7	50
1-16	2021_03_08	8-8	50
1-16	2021_03_15	1-1	50
1-16	2021_03_15	1-19	50
1-16	2021_03_15	1-20	50
1-16	2021_03_15	13-7	50
1-16	2021_03_15	14-7	50
1-16	2021_03_15	18-19	50
1-16	2021_03_15	18-2	50
1-16	2021_03_15	19-1	50
1-16	2021_03_15	19-2	50
1-16	2021_03_15	2-1	50
1-16	2021_03_15	20-1	50
1-16	2021_03_15	20-19	50
1-16	2021_03_15	3-19	50
1-16	2021_03_15	7-14	50
1-16	2021_03_15	7-7	50
1-16	2021_03_15	8-14	50
1-16	2021_03_15	8-7	50
1-16	2021_03_15	8-8	50
1-16	2021_03_23	1-1	50
1-16	2021_03_23	1-19	50
1-16	2021_03_23	1-20	50
1-16	2021_03_23	13-7	50
1-16	2021_03_23	14-7	50
1-16	2021_03_23	18-19	50
1-16	2021_03_23	18-2	50
1-16	2021_03_23	19-1	50
1-16	2021_03_23	19-2	50
1-16	2021_03_23	2-1	50
1-16	2021_03_23	20-1	50
1-16	2021_03_23	20-19	50
1-16	2021_03_23	3-19	50
1-16	2021_03_23	7-14	50
1-16	2021_03_23	7-7	50
1-16	2021_03_23	8-14	50
1-16	2021_03_23	8-7	50
1-16	2021_03_23	8-8	50
1-18	2021_03_01	1-1	50
1-18	2021_03_01	1-19	50
1-18	2021_03_01	1-20	50
1-18	2021_03_01	13-7	50
1-18	2021_03_01	14-7	50
1-18	2021_03_01	18-19	50
1-18	2021_03_01	18-2	50
1-18	2021_03_01	19-1	50
1-18	2021_03_01	19-2	50
1-18	2021_03_01	2-1	50
1-18	2021_03_01	20-1	50
1-18	2021_03_01	20-19	50
1-18	2021_03_01	3-19	50
1-18	2021_03_01	7-14	50
1-18	2021_03_01	7-7	50
1-18	2021_03_01	8-14	50
1-18	2021_03_01	8-7	50
1-18	2021_03_01	8-8	50
1-18	2021_03_08	1-1	50
1-18	2021_03_08	1-19	50
1-18	2021_03_08	1-20	50
1-18	2021_03_08	13-7	50
1-18	2021_03_08	14-7	50
1-18	2021_03_08	18-19	50
1-18	2021_03_08	18-2	50
1-18	2021_03_08	19-1	50
1-18	2021_03_08	19-2	50
1-18	2021_03_08	2-1	50
1-18	2021_03_08	20-1	50
1-18	2021_03_08	20-19	50
1-18	2021_03_08	3-19	50
1-18	2021_03_08	7-14	50
1-18	2021_03_08	7-7	50
1-18	2021_03_08	8-14	50
1-18	2021_03_08	8-7	50
1-18	2021_03_08	8-8	50
1-18	2021_03_15	1-1	50
1-18	2021_03_15	1-19	50
1-18	2021_03_15	1-20	50
1-18	2021_03_15	13-7	50
1-18	2021_03_15	14-7	50
1-18	2021_03_15	18-19	50
1-18	2021_03_15	18-2	50
1-18	2021_03_15	19-1	50
1-18	2021_03_15	19-2	50
1-18	2021_03_15	2-1	50
1-18	2021_03_15	20-1	50
1-18	2021_03_15	20-19	50
1-18	2021_03_15	3-19	50
1-18	2021_03_15	7-14	50
1-18	2021_03_15	7-7	50
1-18	2021_03_15	8-14	50
1-18	2021_03_15	8-7	50
1-18	2021_03_15	8-8	50
1-18	2021_03_23	1-1	50
1-18	2021_03_23	1-19	50
1-18	2021_03_23	1-20	50
1-18	2021_03_23	13-7	50
1-18	2021_03_23	14-7	50
1-18	2021_03_23	18-19	50
1-18	2021_03_23	18-2	50
1-18	2021_03_23	19-1	50
1-18	2021_03_23	19-2	50
1-18	2021_03_23	2-1	50
1-18	2021_03_23	20-1	50
1-18	2021_03_23	20-19	50
1-18	2021_03_23	3-19	50
1-18	2021_03_23	7-14	50
1-18	2021_03_23	7-7	50
1-18	2021_03_23	8-14	50
1-18	2021_03_23	8-7	50
1-18	2021_03_23	8-8	50
1-19	2021_03_01	1-1	50
1-19	2021_03_01	1-19	50
1-19	2021_03_01	1-20	50
1-19	2021_03_01	13-7	50
1-19	2021_03_01	14-7	50
1-19	2021_03_01	18-19	50
1-19	2021_03_01	18-2	50
1-19	2021_03_01	19-1	50
1-19	2021_03_01	19-2	50
1-19	2021_03_01	2-1	50
1-19	2021_03_01	20-1	50
1-19	2021_03_01	20-19	0
1-19	2021_03_01	3-19	50
1-19	2021_03_01	7-14	50
1-19	2021_03_01	7-7	50
1-19	2021_03_01	8-14	50
1-19	2021_03_01	8-7	50
1-19	2021_03_01	8-8	50
1-19	2021_03_08	1-1	50
1-19	2021_03_08	1-19	50
1-19	2021_03_08	1-20	50
1-19	2021_03_08	13-7	50
1-19	2021_03_08	14-7	50
1-19	2021_03_08	18-19	50
1-19	2021_03_08	18-2	50
1-19	2021_03_08	19-1	50
1-19	2021_03_08	19-2	50
1-19	2021_03_08	2-1	50
1-19	2021_03_08	20-1	50
1-19	2021_03_08	20-19	50
1-19	2021_03_08	3-19	50
1-19	2021_03_08	7-14	50
1-19	2021_03_08	7-7	50
1-19	2021_03_08	8-14	50
1-19	2021_03_08	8-7	50
1-19	2021_03_08	8-8	50
1-19	2021_03_15	1-1	50
1-19	2021_03_15	1-19	50
1-19	2021_03_15	1-20	50
1-19	2021_03_15	13-7	50
1-19	2021_03_15	14-7	50
1-19	2021_03_15	18-19	50
1-19	2021_03_15	18-2	50
1-19	2021_03_15	19-1	50
1-19	2021_03_15	19-2	50
1-19	2021_03_15	2-1	50
1-19	2021_03_15	20-1	50
1-19	2021_03_15	20-19	50
1-19	2021_03_15	3-19	50
1-19	2021_03_15	7-14	50
1-19	2021_03_15	7-7	50
1-19	2021_03_15	8-14	50
1-19	2021_03_15	8-7	50
1-19	2021_03_15	8-8	50
1-19	2021_03_23	1-1	50
1-19	2021_03_23	1-19	50
1-19	2021_03_23	1-20	50
1-19	2021_03_23	13-7	50
1-19	2021_03_23	14-7	50
1-19	2021_03_23	18-19	50
1-19	2021_03_23	18-2	50
1-19	2021_03_23	19-1	50
1-19	2021_03_23	19-2	50
1-19	2021_03_23	2-1	50
1-19	2021_03_23	20-1	50
1-19	2021_03_23	20-19	0
1-19	2021_03_23	3-19	50
1-19	2021_03_23	7-14	50
1-19	2021_03_23	7-7	50
1-19	2021_03_23	8-14	50
1-19	2021_03_23	8-7	50
1-19	2021_03_23	8-8	50
1-2	2021_03_01	1-1	0
1-2	2021_03_01	1-19	13
1-2	2021_03_01	1-20	11
1-2	2021_03_01	13-7	0
1-2	2021_03_01	14-7	0
1-2	2021_03_01	18-19	23
1-2	2021_03_01	18-2	50
1-2	2021_03_01	19-1	0
1-2	2021_03_01	19-2	43
1-2	2021_03_01	2-1	0
1-2	2021_03_01	20-1	29
1-2	2021_03_01	20-19	4
1-2	2021_03_01	3-19	31
1-2	2021_03_01	7-14	0
1-2	2021_03_01	7-7	12
1-2	2021_03_01	8-14	15
1-2	2021_03_01	8-7	42
1-2	2021_03_01	8-8	0
1-2	2021_03_08	1-1	50
1-2	2021_03_08	1-19	50
1-2	2021_03_08	1-20	50
1-2	2021_03_08	13-7	50
1-2	2021_03_08	14-7	50
1-2	2021_03_08	18-19	50
1-2	2021_03_08	18-2	50
1-2	2021_03_08	19-1	50
1-2	2021_03_08	19-2	50
1-2	2021_03_08	2-1	50
1-2	2021_03_08	20-1	50
1-2	2021_03_08	20-19	50
1-2	2021_03_08	3-19	50
1-2	2021_03_08	7-14	50
1-2	2021_03_08	7-7	50
1-2	2021_03_08	8-14	50
1-2	2021_03_08	8-7	50
1-2	2021_03_08	8-8	50
1-2	2021_03_15	1-1	50
1-2	2021_03_15	1-19	50
1-2	2021_03_15	1-20	50
1-2	2021_03_15	13-7	50
1-2	2021_03_15	14-7	50
1-2	2021_03_15	18-19	50
1-2	2021_03_15	18-2	50
1-2	2021_03_15	19-1	50
1-2	2021_03_15	19-2	50
1-2	2021_03_15	2-1	50
1-2	2021_03_15	20-1	50
1-2	2021_03_15	20-19	50
1-2	2021_03_15	3-19	50
1-2	2021_03_15	7-14	50
1-2	2021_03_15	7-7	50
1-2	2021_03_15	8-14	50
1-2	2021_03_15	8-7	50
1-2	2021_03_15	8-8	50
1-2	2021_03_23	1-1	50
1-2	2021_03_23	1-19	50
1-2	2021_03_23	1-20	50
1-2	2021_03_23	13-7	50
1-2	2021_03_23	14-7	50
1-2	2021_03_23	18-19	50
1-2	2021_03_23	18-2	50
1-2	2021_03_23	19-1	50
1-2	2021_03_23	19-2	50
1-2	2021_03_23	2-1	50
1-2	2021_03_23	20-1	50
1-2	2021_03_23	20-19	50
1-2	2021_03_23	3-19	50
1-2	2021_03_23	7-14	50
1-2	2021_03_23	7-7	50
1-2	2021_03_23	8-14	50
1-2	2021_03_23	8-7	50
1-2	2021_03_23	8-8	50
1-8	2021_03_01	1-1	50
1-8	2021_03_01	1-19	50
1-8	2021_03_01	1-20	50
1-8	2021_03_01	13-7	50
1-8	2021_03_01	14-7	50
1-8	2021_03_01	18-19	50
1-8	2021_03_01	18-2	50
1-8	2021_03_01	19-1	50
1-8	2021_03_01	19-2	50
1-8	2021_03_01	2-1	50
1-8	2021_03_01	20-1	50
1-8	2021_03_01	20-19	50
1-8	2021_03_01	3-19	50
1-8	2021_03_01	7-14	50
1-8	2021_03_01	7-7	50
1-8	2021_03_01	8-14	50
1-8	2021_03_01	8-7	50
1-8	2021_03_01	8-8	50
1-8	2021_03_08	1-1	50
1-8	2021_03_08	1-19	50
1-8	2021_03_08	1-20	50
1-8	2021_03_08	13-7	50
1-8	2021_03_08	14-7	50
1-8	2021_03_08	18-19	50
1-8	2021_03_08	18-2	50
1-8	2021_03_08	19-1	50
1-8	2021_03_08	19-2	50
1-8	2021_03_08	2-1	50
1-8	2021_03_08	20-1	50
1-8	2021_03_08	20-19	50
1-8	2021_03_08	3-19	50
1-8	2021_03_08	7-14	50
1-8	2021_03_08	7-7	50
1-8	2021_03_08	8-14	50
1-8	2021_03_08	8-7	50
1-8	2021_03_08	8-8	50
1-8	2021_03_15	1-1	50
1-8	2021_03_15	1-19	50
1-8	2021_03_15	1-20	50
1-8	2021_03_15	13-7	50
1-8	2021_03_15	14-7	50
1-8	2021_03_15	18-19	50
1-8	2021_03_15	18-2	50
1-8	2021_03_15	19-1	50
1-8	2021_03_15	19-2	50
1-8	2021_03_15	2-1	50
1-8	2021_03_15	20-1	50
1-8	2021_03_15	20-19	50
1-8	2021_03_15	3-19	50
1-8	2021_03_15	7-14	50
1-8	2021_03_15	7-7	50
1-8	2021_03_15	8-14	50
1-8	2021_03_15	8-7	50
1-8	2021_03_15	8-8	50
1-8	2021_03_23	1-1	50
1-8	2021_03_23	1-19	50
1-8	2021_03_23	1-20	50
1-8	2021_03_23	13-7	50
1-8	2021_03_23	14-7	50
1-8	2021_03_23	18-19	50
1-8	2021_03_23	18-2	50
1-8	2021_03_23	19-1	50
1-8	2021_03_23	19-2	50
1-8	2021_03_23	2-1	50
1-8	2021_03_23	20-1	50
1-8	2021_03_23	20-19	50
1-8	2021_03_23	3-19	50
1-8	2021_03_23	7-14	50
1-8	2021_03_23	7-7	50
1-8	2021_03_23	8-14	50
1-8	2021_03_23	8-7	50
1-8	2021_03_23	8-8	50
10-1	2021_03_01	1-1	0
10-1	2021_03_01	1-19	0
10-1	2021_03_01	1-20	50
10-1	2021_03_01	13-7	50
10-1	2021_03_01	14-7	10
10-1	2021_03_01	18-19	50
10-1	2021_03_01	18-2	50
10-1	2021_03_01	19-1	50
10-1	2021_03_01	19-2	50
10-1	2021_03_01	2-1	50
10-1	2021_03_01	20-1	50
10-1	2021_03_01	20-19	0
10-1	2021_03_01	3-19	0
10-1	2021_03_01	7-14	10
10-1	2021_03_01	7-7	50
10-1	2021_03_01	8-14	50
10-1	2021_03_01	8-7	50
10-1	2021_03_01	8-8	0
10-1	2021_03_08	1-1	0
10-1	2021_03_08	1-19	0
10-1	2021_03_08	1-20	50
10-1	2021_03_08	13-7	50
10-1	2021_03_08	14-7	0
10-1	2021_03_08	18-19	50
10-1	2021_03_08	18-2	50
10-1	2021_03_08	19-1	50
10-1	2021_03_08	19-2	50
10-1	2021_03_08	2-1	50
