Trial 1: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 21.655484510086456, 'val_acc': 20.040494938132735, 'test_acc': 19.888408927285816}
Trial 12: {'model_dim': 128, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 18.251305835734872, 'val_acc': 18.32620922384702, 'test_acc': 18.27933765298776}
Trial 13: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.31853386167147, 'val_acc': 20.341957255343083, 'test_acc': 20.154787616990642}
Trial 14: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 19.30345572354212, 'val_acc': 18.321709786276717, 'test_acc': 18.326133909287257}
Trial 15: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.301828170028818, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 16: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 22.992035637149026, 'val_acc': 20.440944881889763, 'test_acc': 20.338372930165587}
Trial 17: {'model_dim': 256, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 15.435878962536023, 'val_acc': 14.591676040494939, 'test_acc': 14.370050395968322}
Trial 18: {'model_dim': 256, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.301828170028818, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 19: {'model_dim': 128, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.726044668587896, 'val_acc': 20.43644544431946, 'test_acc': 20.226781857451403}
Trial 20: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 22.648938084953205, 'val_acc': 20.575928008998876, 'test_acc': 20.266378689704823}
Trial 21: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 23.422865634005763, 'val_acc': 17.88076490438695, 'test_acc': 17.688984881209503}
Trial 22: {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 23: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 23.113292507204612, 'val_acc': 18.830146231721034, 'test_acc': 18.329733621310297}
Trial 24: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 17.977755763688762, 'val_acc': 17.984251968503937, 'test_acc': 17.63858891288697}
Trial 25: {'model_dim': 256, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 22.79067674586033, 'val_acc': 15.590551181102363, 'test_acc': 15.428365730741541}
Trial 26: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 20.727890850144092, 'val_acc': 20.130483689538806, 'test_acc': 19.39164866810655}
Trial 27: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.304079610951009, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 28: {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.305205331412104, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 29: {'model_dim': 256, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 18.560878962536023, 'val_acc': 18.191226096737907, 'test_acc': 18.10295176385889}
Trial 30: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.041606628242075, 'val_acc': 20.346456692913385, 'test_acc': 20.061195104391647}
Trial 31: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 23.789850504322768, 'val_acc': 16.755905511811022, 'test_acc': 16.479481641468684}
Trial 32: {'model_dim': 256, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.302953890489913, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 33: {'model_dim': 256, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.300755939524837, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 34: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 16.90719560518732, 'val_acc': 17.214848143982003, 'test_acc': 16.79985601151908}
Trial 35: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 22.020217939481267, 'val_acc': 20.99437570303712, 'test_acc': 21.18790496760259}
Trial 36: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 23.311419308357348, 'val_acc': 15.527559055118111, 'test_acc': 15.377969762419006}
Trial 37: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 22.232979106628243, 'val_acc': 18.04724409448819, 'test_acc': 17.94816414686825}
Trial 38: {'model_dim': 128, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 23.839382204610953, 'val_acc': 19.30708661417323, 'test_acc': 18.999280057595392}
Trial 39: {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.300755939524837, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 40: {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.300755939524837, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 41: {'model_dim': 128, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 20.873830093592513, 'val_acc': 19.604049493813275, 'test_acc': 19.053275737940965}
Trial 42: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.299631029517638, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 43: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 21.090372838616716, 'val_acc': 20.25646794150731, 'test_acc': 20.11879049676026}
Trial 44: {'model_dim': 256, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 23.103401727861772, 'val_acc': 15.595050618672666, 'test_acc': 15.413966882649389}
Trial 45: {'model_dim': 64, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 22.66918646508279, 'val_acc': 19.89201349831271, 'test_acc': 19.632829373650107}
Trial 46: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 19.90161203170029, 'val_acc': 19.34758155230596, 'test_acc': 19.103671706263498}
Trial 47: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.300702449567723, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 48: {'model_dim': 64, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 23.26301332853026, 'val_acc': 20.130483689538806, 'test_acc': 20.010799136069114}
Trial 49: {'model_dim': 256, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 22.436330093592513, 'val_acc': 17.264341957255343, 'test_acc': 16.83585313174946}
Trial 50: {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 22.720932325413965, 'val_acc': 16.998875140607424, 'test_acc': 16.781857451403887}
Trial 51: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.287193804034581, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 52: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 22.62022694524496, 'val_acc': 19.739032620922384, 'test_acc': 19.632829373650107}
Trial 53: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 23.2765219740634, 'val_acc': 19.977502812148483, 'test_acc': 20.071994240460764}
Trial 54: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.300702449567723, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 55: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 56: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 23.36432817002882, 'val_acc': 19.775028121484816, 'test_acc': 19.70482361411087}
Trial 57: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.249010079193665, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 58: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 18.96163544668588, 'val_acc': 18.71316085489314, 'test_acc': 18.290136789056877}
Trial 59: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 21.380039596832255, 'val_acc': 20.224971878515184, 'test_acc': 20.00359971202304}
Trial 60: {'model_dim': 128, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 23.850341972642187, 'val_acc': 17.4533183352081, 'test_acc': 17.55939524838013}
Trial 61: {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 21.234926205903527, 'val_acc': 19.968503937007874, 'test_acc': 19.26205903527718}
Trial 62: {'model_dim': 64, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 23.20560158501441, 'val_acc': 20.8503937007874, 'test_acc': 20.230381569474442}
Trial 63: {'model_dim': 128, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 23.151772858171345, 'val_acc': 19.22609673790776, 'test_acc': 18.76529877609791}
Trial 64: {'model_dim': 64, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.299631029517638, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 65: {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 20.98793227665706, 'val_acc': 20.553430821147355, 'test_acc': 20.122390208783298}
Trial 66: {'model_dim': 128, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.43110590778098, 'val_acc': 20.350956130483688, 'test_acc': 20.0}
Trial 67: {'model_dim': 64, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.14404719020173, 'val_acc': 20.31496062992126, 'test_acc': 19.888408927285816}
Trial 68: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.498649135446687, 'val_acc': 19.874015748031496, 'test_acc': 19.949604031677467}
Trial 69: {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.302953890489913, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 70: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.299576729106628, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 71: {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 20.58585313174946, 'val_acc': 20.062992125984252, 'test_acc': 19.697624190064793}
Trial 72: {'model_dim': 64, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 21.64310158501441, 'val_acc': 20.674915635545556, 'test_acc': 20.327573794096473}
Trial 73: {'model_dim': 64, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 22.061735061195105, 'val_acc': 20.21597300337458, 'test_acc': 19.809215262778977}
Trial 74: {'model_dim': 128, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 21.545163904899134, 'val_acc': 20.661417322834644, 'test_acc': 20.226781857451403}
Trial 75: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.82623378962536, 'val_acc': 21.061867266591676, 'test_acc': 20.48956083513319}
Trial 76: {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.04498378962536, 'val_acc': 17.98875140607424, 'test_acc': 18.07055435565155}
Trial 77: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.297325288184439, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 78: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.174621757925072, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 79: {'model_dim': 256, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.301828170028818, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 80: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 23.53086753059755, 'val_acc': 19.995500562429697, 'test_acc': 19.834413246940244}
Trial 81: {'model_dim': 64, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 21.476494956772335, 'val_acc': 20.52193475815523, 'test_acc': 20.266378689704823}
Trial 82: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 83: {'model_dim': 128, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 22.602816774658027, 'val_acc': 20.16647919010124, 'test_acc': 19.69042476601872}
Trial 84: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.357934077809798, 'val_acc': 18.362204724409448, 'test_acc': 18.14254859611231}
Trial 85: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 18.510394168466522, 'val_acc': 18.37570303712036, 'test_acc': 18.326133909287257}
Trial 86: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 23.52974262059035, 'val_acc': 19.055118110236222, 'test_acc': 18.178545716342693}
Trial 87: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 88: {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.301828170028818, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 89: {'model_dim': 64, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 90: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 23.376711095100866, 'val_acc': 19.92800899887514, 'test_acc': 19.269258459323254}
Trial 91: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 20.8404628962536, 'val_acc': 20.143982002249718, 'test_acc': 20.014398848092153}
Trial 92: {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 21.801880849532036, 'val_acc': 19.631046119235094, 'test_acc': 19.12167026637869}
Trial 93: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 8.49757019438445, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 94: {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 22.977080331412104, 'val_acc': 20.607424071991, 'test_acc': 20.338372930165587}
Trial 95: {'model_dim': 64, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.301880849532038, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 96: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 20.954160662824208, 'val_acc': 20.463442069741284, 'test_acc': 20.107991360691145}
Trial 97: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 17.81002341498559, 'val_acc': 18.074240719910012, 'test_acc': 18.02375809935205}
Trial 98: {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.16881304034582, 'val_acc': 20.43644544431946, 'test_acc': 19.722822174226064}
Trial 99: {'model_dim': 128, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 21.103881484149856, 'val_acc': 20.346456692913385, 'test_acc': 20.21598272138229}
Trial 100: {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.291696685878962, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}

=== Best Result ===
{'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.82623378962536, 'val_acc': 21.061867266591676, 'test_acc': 20.48956083513319}
