Trial 1: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 17: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 39.385384366177625, 'test_acc': 39.46608412322275}
Trial 18: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 46.21650391076966, 'test_acc': 46.01599526066351}
Trial 19: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 41.967880779377055, 'test_acc': 42.70586492890995}
Trial 20: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 21: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 22: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 23: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 24: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 36.92784745684269, 'test_acc': 37.01125592417062}
Trial 25: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 45.554681353265146, 'test_acc': 46.201125592417064}
Trial 26: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 27: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 41.088536122552874, 'test_acc': 41.61359597156398}
Trial 28: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 26.77835886518258, 'test_acc': 27.010515402843602}
Trial 29: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 30: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 46.3692321932707, 'test_acc': 46.47882109004739}
Trial 31: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 32: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 10.006016568704586, 'test_acc': 9.826718009478673}
