Trial 1: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.45298590504451, 'val_acc': 9.344194011200074, 'test_acc': 9.226895734597157}
Trial 46: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 47: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 93.08333333333333, 'val_acc': 42.55102513074467, 'test_acc': 42.10974526066351}
Trial 48: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 95.94907407407408, 'val_acc': 39.72786596936178, 'test_acc': 40.03258293838863}
Trial 49: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 85.43791728486647, 'val_acc': 46.23501642986069, 'test_acc': 45.941943127962084}
Trial 50: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 91.43175074183976, 'val_acc': 45.12889341417133, 'test_acc': 44.32760663507109}
Trial 51: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 52: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 86.29513888888889, 'val_acc': 46.00823807099551, 'test_acc': 45.81605450236967}
Trial 53: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.52430555555556, 'val_acc': 41.95399639005878, 'test_acc': 41.66172985781991}
Trial 54: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 91.77485163204747, 'val_acc': 44.41616142916647, 'test_acc': 44.23874407582938}
Trial 55: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 92.77981268545994, 'val_acc': 44.564261581894755, 'test_acc': 44.47200829383886}
Trial 56: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 93.45138888888889, 'val_acc': 43.06011940574814, 'test_acc': 42.59108412322275}
Trial 57: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 46.08331787833828, 'val_acc': 22.40477622992549, 'test_acc': 22.671060426540283}
Trial 58: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 12.291666666666666, 'val_acc': 10.11246355347804, 'test_acc': 10.011848341232227}
Trial 59: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.68332715133531, 'val_acc': 9.584856759383532, 'test_acc': 9.20468009478673}
Trial 60: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.514094955489615, 'val_acc': 9.607997408247327, 'test_acc': 9.334271327014218}
Trial 61: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.47800925925926, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 62: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 94.0925925925926, 'val_acc': 44.35599574212061, 'test_acc': 43.87588862559242}
Trial 63: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 87.13657407407408, 'val_acc': 45.30013421576341, 'test_acc': 45.882701421800945}
Trial 64: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.956018518518519, 'val_acc': 9.469153515064562, 'test_acc': 9.312055687203792}
Trial 65: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.496527777777779, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 66: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 67: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.491898148148149, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 68: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.682492581602373, 'val_acc': 9.570972370065256, 'test_acc': 9.537914691943127}
Trial 69: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.494389836795252, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 70: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 95.8761574074074, 'val_acc': 40.06571944277317, 'test_acc': 39.62899881516588}
Trial 71: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 72: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 96.40625, 'val_acc': 39.20488730504003, 'test_acc': 38.6144845971564}
Trial 73: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.485116839762611, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 74: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 95.90277777777777, 'val_acc': 40.024066274818345, 'test_acc': 39.677132701421804}
Trial 75: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 10.363425925925926, 'val_acc': 9.575600499838016, 'test_acc': 9.152843601895734}
Trial 76: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 42.37064169139466, 'val_acc': 22.242791687878928, 'test_acc': 21.875}
Trial 77: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.61111111111111, 'val_acc': 41.3893645577822, 'test_acc': 41.40995260663507}
Trial 78: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 79: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.481481481481481, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 80: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.797453703703704, 'val_acc': 9.385847179154904, 'test_acc': 9.019549763033176}
Trial 81: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 95.64930555555556, 'val_acc': 40.03795066413662, 'test_acc': 40.06590639810427}
Trial 82: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.47700296735905, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 83: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 96.6863425925926, 'val_acc': 42.36127181006155, 'test_acc': 41.50992298578199}
Trial 84: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 95.31018518518519, 'val_acc': 36.64090341093164, 'test_acc': 36.57064573459716}
Trial 85: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.90625, 'val_acc': 9.112787522562133, 'test_acc': 9.012144549763033}
Trial 86: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 96.00449740356083, 'val_acc': 41.79663997778498, 'test_acc': 41.358116113744074}
Trial 87: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 95.69560185185185, 'val_acc': 40.9172953209608, 'test_acc': 40.9582345971564}
Trial 88: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 47.05324074074074, 'val_acc': 21.155181191280604, 'test_acc': 21.649140995260662}
Trial 89: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 92.55957900593472, 'val_acc': 42.990697459156756, 'test_acc': 42.81324052132702}
Trial 90: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 91: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 92: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.480324074074074, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 93: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.491898148148149, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 94: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 95: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 96: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.495548961424332, 'val_acc': 9.473781644837322, 'test_acc': 9.219490521327014}
Trial 97: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 98: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 99: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 46.68954005934718, 'val_acc': 23.302633405840698, 'test_acc': 22.952458530805686}
Trial 100: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.493055555555555, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}

=== Best Result ===
{'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 85.43791728486647, 'val_acc': 46.23501642986069, 'test_acc': 45.941943127962084}
