数据集路径: E:/rf_datasets_equalize/
===== 随机搜索结果 =====
[组合 1] {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.12% | Val: 11.07% | Test: 11.13%
[组合 18] {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 19] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 20] {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 21] {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 22] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 23] {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 24] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 25] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 26] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 27] {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 10.90% | Test: 11.30%
[组合 28] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 29] {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.19% | Val: 10.89% | Test: 10.97%
[组合 30] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 31] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 32] {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 33] {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 34] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 35] {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 36] {'model_dim': 32, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 37] {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.15% | Val: 11.05% | Test: 11.00%
[组合 38] {'model_dim': 32, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 39] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 40] {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 41] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 42] {'model_dim': 32, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 43] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 44] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 45] {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 46] {'model_dim': 32, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 47] {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 48] {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 49] {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 50] {'model_dim': 32, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 51] {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 52] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 53] {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 54] {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 55] {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 56] {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 57] {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 58] {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 59] {'model_dim': 32, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 60] {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 61] {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 62] {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 63] {'model_dim': 32, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.16% | Val: 10.96% | Test: 11.04%
[组合 64] {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.14% | Val: 10.91% | Test: 11.19%
[组合 65] {'model_dim': 32, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 66] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 67] {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 68] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 69] {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 70] {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.13% | Val: 11.07% | Test: 11.08%
[组合 71] {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 72] {'model_dim': 32, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 73] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 74] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 75] {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 76] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 77] {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 78] {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 79] {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 80] {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 81] {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 82] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 83] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 84] {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 85] {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 86] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 87] {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 88] {'model_dim': 256, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 89] {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 90] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 91] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 92] {'model_dim': 32, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 93] {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 94] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 95] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 96] {'model_dim': 32, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.15% | Val: 11.10% | Test: 10.96%
[组合 97] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 98] {'model_dim': 32, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 99] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 100] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%

===== 最佳结果 =====
最佳参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5}
验证集准确率: 11.11%
测试集准确率: 11.11%
最佳模型路径: search_results\2025-08-16_10-07-15_LTE-V_time_random_SNR10_fd960.00\best_model.pth
